site_id,url,page_type,citation_outcome_class,http_index_controls,crawler_role_robots_policy,raw_rendered_key_fact_parity,crawlable_links,structured_data_validity,answer_completeness,entity_ambiguity,freshness_version_signals,external_contradictions,measured_performance_source,referral_continuity_result,auditor_finding_ids,human_ground_truth
betul-nic-in,https://betul.nic.in,gov-edu,,,,,,,,,,,,,ACC-CANONICAL-CONFLICT:medium;ACC-HREFLANG-INCONSISTENT:medium;ANS-PASSAGE-INCOMPLETE:medium;REF-404-DEAD-END:medium;REF-FRAGMENT-UNSURVIVABLE:low [0/0/4/1] opps=2 ne=9 complete,sweep/audit-worker reported; not hand-verified
dbt-bihar-gov-in,https://dbt.bihar.gov.in,gov-edu,,,,,,,,,,,,,REF-404-DEAD-END:medium [0/0/1/0] opps=0 ne=35 partial,sweep/audit-worker reported; not hand-verified
hstu-ac-bd,https://hstu.ac.bd,gov-edu,,,,,,,,,,,,,REF-SOFT-404:high [0/1/0/0] opps=0 ne=23 complete,sweep/audit-worker reported; not hand-verified
mlu-ac-in,https://mlu.ac.in,gov-edu,,,,,,,,,,,,,REP-KEY-FACT-LOSS:high;REF-SOFT-404:medium;REP-NON-TEXT-LOCKIN:medium [0/1/2/0] opps=0 ne=10 complete,sweep/audit-worker reported; not hand-verified
nm-aist-ac-tz,https://nm-aist.ac.tz,gov-edu,,,,,,,,,,,,,ACC-CANONICAL-CONFLICT:medium;ANS-PASSAGE-INCOMPLETE:medium;ANS-QUESTION-UNANSWERED:medium;REP-TABLE-SEMANTICS:medium;ACC-SITEMAP-ORPHAN:low [0/0/4/1] opps=2 ne=8 complete,sweep/audit-worker reported; not hand-verified
vbspu-ac-in,https://vbspu.ac.in,gov-edu,,,,,,,,,,,,,REF-PATH-DROP-REDIRECT:high;REF-SOFT-404:high [0/2/0/0] opps=0 ne=24 complete,sweep/audit-worker reported; not hand-verified
boonyindeedoctor-com,https://boonyindeedoctor.com,local-business,,,,,,,,,,,,,REF-SOFT-404:high [0/1/0/0] opps=0 ne=23 complete,sweep/audit-worker reported; not hand-verified
cacaoessentia-com,https://cacaoessentia.com,ecommerce,,,,,,,,,,,,,REF-ANSWER-NOT-CONFIRMED:medium;REF-FRAGMENT-UNSURVIVABLE:medium;REP-TABLE-SEMANTICS:medium;REF-OVERLAY-BLOCK:low [0/0/3/1] opps=1 ne=9 complete,sweep/audit-worker reported; not hand-verified
emporiodonagraca-com-br,https://emporiodonagraca.com.br,local-business,,,,,,,,,,,,, [0/0/0/0] opps=1 ne=12 complete,sweep/audit-worker reported; not hand-verified
mytiangge-com,https://mytiangge.com,ecommerce,,,,,,,,,,,,,REF-ANSWER-NOT-CONFIRMED:medium;ACC-SITEMAP-ORPHAN:low [0/0/1/1] opps=1 ne=10 complete,sweep/audit-worker reported; not hand-verified
olcome-com,https://olcome.com,ecommerce,,,,,,,,,,,,,ACC-ROBOTS-UNAVAILABLE:high [0/1/0/0] opps=0 ne=38 partial,partial on origin 521s; ROBOTS-UNAVAILABLE high (2x521)
pedacitodecielo-mx,https://pedacitodecielo.mx,ecommerce,,,,,,,,,,,,,REF-FRAGMENT-UNSURVIVABLE:medium;ACC-SITEMAP-ORPHAN:low [0/0/1/1] opps=2 ne=8 complete,agents.md orphan reconfirmed 3x; bot-degraded title variance noted
drrudagi-com,https://drrudagi.com,local-business,,,,,,,,,,,,,REF-SOFT-404:high [0/1/0/0] opps=0 ne=24 complete,sweep/audit-worker reported; not hand-verified
sugandhabeauty-com,https://sugandhabeauty.com,local-business,,,,,,,,,,,,,REF-SOFT-404:medium [0/0/1/0] opps=0 ne=23 complete,sweep/audit-worker reported; not hand-verified
tambu-ng,https://tambu.ng,"ecommerce,local-business",,,,,,,,,,,,,ACC-BOT-CHALLENGE:high;REF-404-DEAD-END:medium;REF-ANSWER-NOT-CONFIRMED:medium [0/1/2/0] opps=1 ne=10 complete,BOT-CHALLENGE quarantined (parallel cross-talk; solo repro negative); variability specimen
taquerialoscunados-mx,https://taquerialoscunados.mx,local-business,,,,,,,,,,,,,REP-HIDDEN-TEXT-SUSPECT:medium;ACC-SITEMAP-ORPHAN:low [0/0/1/1] opps=0 ne=12 complete,sweep/audit-worker reported; not hand-verified
toothandcodental-com,https://toothandcodental.com,local-business,,,,,,,,,,,,,ACC-SITEMAP-ORPHAN:medium;ANS-PASSAGE-INCOMPLETE:medium;REF-ANSWER-NOT-CONFIRMED:medium;REP-TABLE-SEMANTICS:medium [0/0/4/0] opps=2 ne=9 complete,sweep/audit-worker reported; not hand-verified
yugantra-com,https://yugantra.com,ecommerce,,,,,,,,,,,,,REF-SOFT-404:medium [0/0/1/0] opps=3 ne=24 complete,sweep/audit-worker reported; not hand-verified
afri-link-org,https://afri-link.org,publisher,,,,,,,,,,,,,REP-NON-TEXT-LOCKIN:high;ENT-JSONLD-INVALID:medium;REF-ANSWER-NOT-CONFIRMED:medium;REP-TABLE-SEMANTICS:medium [0/1/3/0] opps=1 ne=9 complete,sweep/audit-worker reported; not hand-verified
dainikjahan-com,https://dainikjahan.com,publisher,,,,,,,,,,,,,REF-SOFT-404:high [0/1/0/0] opps=0 ne=24 complete,soft-404 high on challenge wall; restraint otherwise
jawharatarabnews-net,https://jawharatarabnews.net,publisher,,,,,,,,,,,,,ENT-JSONLD-INVALID:high;REF-SOFT-404:high;REF-FRAGMENT-UNSURVIVABLE:medium;REP-NON-TEXT-LOCKIN:medium [0/2/2/0] opps=1 ne=11 complete,"2 highs (JSONLD-invalid, soft-404)"
thekrishnalabs-in,https://thekrishnalabs.in,publisher,,,,,,,,,,,,, [0/0/0/0] opps=1 ne=9 complete,0 findings + accreditation opportunity
muktoprovat-com-bd,https://muktoprovat.com.bd,publisher,,,,,,,,,,,,,FRS-CLAIM-CONFLICT:medium;REF-404-DEAD-END:medium;REF-FRAGMENT-UNSURVIVABLE:medium [0/0/3/0] opps=0 ne=10 complete,founding-date conflict straight from matrix rows (headline matrix verification)
amazon-com,https://amazon.com,ecommerce,,,,,,,,,,,,,ACC-ROBOTS-ROLE:critical;ACC-CANONICAL-CONFLICT:medium;REF-ANSWER-NOT-CONFIRMED:medium;REP-HIDDEN-TEXT-SUSPECT:medium;REP-METADATA-CONTRAST:medium;REF-FRAGMENT-UNSURVIVABLE:low [1/0/4/1] opps=2 ne=10 complete,PerplexityBot block critical; INR egress qualifier used unprompted
bbc-com,https://bbc.com,publisher,,,,,,,,,,,,,ACC-ROBOTS-ROLE:critical;ACC-HREFLANG-INCONSISTENT:medium;ANS-PASSAGE-INCOMPLETE:medium;REP-NON-TEXT-LOCKIN:medium;ACC-SITEMAP-ORPHAN:low [1/0/3/1] opps=1 ne=8 complete,retrieval-bot sitewide block critical (quoted robots lines)
congress-gov,https://congress.gov,gov-edu,,,,,,,,,,,,, [0/0/0/0] opps=0 ne=36 partial,"partial on 403 homepage; restraint, zero invented findings"
nytimes-com,https://nytimes.com,publisher,,,,,,,,,,,,,ACC-ROBOTS-ROLE:critical;ACC-HREFLANG-INCONSISTENT:medium;REF-FRAGMENT-UNSURVIVABLE:medium;ACC-SITEMAP-ORPHAN:low [1/0/2/1] opps=2 ne=8 complete,retrieval-bot block critical hand-verified
tripadvisor-com,https://tripadvisor.com,marketplace-platform,,,,,,,,,,,,,ENT-STRUCTURED-VISIBLE-CONFLICT:high;ACC-HREFLANG-INCONSISTENT:medium;ACC-SITEMAP-INVALID:medium;REF-ANSWER-NOT-CONFIRMED:medium;REF-FRAGMENT-UNSURVIVABLE:medium [0/1/4/0] opps=2 ne=8 complete,ENT price conflict $317/$1000 upheld (schema half refetched); visible half single-source noted
wired-com,https://wired.com,publisher,,,,,,,,,,,,,ACC-ROBOTS-ROLE:critical;ACC-NOARCHIVE-COPILOT:high;REF-OVERLAY-BLOCK:medium;ACC-SITEMAP-ORPHAN:low [1/1/1/1] opps=2 ne=9 complete,retrieval-bot block critical hand-verified; NOARCHIVE high
thecampbellscompany-com,https://thecampbellscompany.com,org-portfolio,,,,,,,,,,,,,REF-404-DEAD-END:medium;ACC-SITEMAP-ORPHAN:low [0/0/1/1] opps=3 ne=9 complete,"thin-sample restraint (2 pages, gaps to opportunities)"
github-com,https://github.com,saas,,,,,,,,,,,,,ACC-HREFLANG-INCONSISTENT:medium;ANS-PASSAGE-INCOMPLETE:medium;REF-ANSWER-NOT-CONFIRMED:medium;REP-TABLE-SEMANTICS:medium [0/0/4/0] opps=1 ne=10 complete,proxy knife-edge documented (640-confirm vs 648-flag)
kubernetes-io,https://kubernetes.io,docs-developer,,,,,,,,,,,,,ANS-PASSAGE-INCOMPLETE:medium;ENT-JSONLD-INVALID:medium;ACC-LLMS-TXT-ABSENT:low;ACC-SITEMAP-ORPHAN:low;REF-ANSWER-NOT-CONFIRMED:low;REF-FRAGMENT-UNSURVIVABLE:low [0/0/2/4] opps=2 ne=6 complete,6 findings reproduced + 1 legit add on stress re-run
v2-vuejs-org,https://v2.vuejs.org,docs-developer,,,,,,,,,,,,,ACC-HREFLANG-INCONSISTENT:medium;REF-404-DEAD-END:medium;ACC-LLMS-TXT-ABSENT:low [0/0/2/1] opps=0 ne=8 complete,"withheld verdict excerpt-truncated (restraint, reasoned)"
vitejs-org,https://vitejs.org,,,,,,,,,,,,,, [0/0/0/0] opps=0 ne=46 complete,"DNS-dead degradation drill (14s, partial, 46 ne)"
